"code","Average Return","beta","Sigma Epsilon","expectedReturn","Treynor Ratio (TR)","Ci"
"BAJFINANCE",12.101663368088575,17.964981910439114,NaN,8.259855194442908,0.670285304383824,NaN
"BAJAJFINSV",6.359233141505098,9.596871695358981,NaN,4.4124269426319795,0.6563840115265258,NaN
"RELIANCE",2.703768249638566,4.269974912027124,NaN,1.9632654650814023,0.6191531107576146,NaN
"BRITANNIA",2.492679586239474,3.9623676567747608,NaN,1.8218360606040107,0.613945952763908,NaN
"JSWSTEEL",2.269713777678523,3.6374525273587994,NaN,1.6724489688681734,0.607489379190063,NaN
"TITAN",2.243272731252721,3.598921525333059,NaN,1.6547334677628862,0.6066463844472608,NaN
"BPCL",2.237217934834125,3.5900982219995456,NaN,1.650676754162427,0.606450798892488,NaN
"HDFC",2.19618005400336,3.530296100557056,NaN,1.6231813740058143,0.6050994004911616,NaN
"HDFCBANK",1.8396498970924022,3.0107453998416616,NaN,1.3843061688754728,0.5910994324481891,NaN
"HINDUNILVR",1.7647533501473198,2.9016030098019896,NaN,1.3341254824222675,0.5875212234025271,NaN
"UPL",1.7359322480602564,2.8596036908258298,NaN,1.314815344023935,0.5860715082432493,NaN
"KOTAKBANK",1.6961471754598794,2.801627214090648,NaN,1.2881593453816824,0.5839988872291633,NaN
"NESTLEIND",1.5304792274752836,2.5602089306914833,NaN,1.177161820232003,0.5743590727488495,NaN
"ASIANPAINT",1.4902213026774005,2.501543393898444,NaN,1.1501890106174215,0.5717355558036199,0.009339176787373843
"MARUTI",1.3439380436133623,2.2883732923616087,NaN,1.0521792270445158,0.5610701924808491,NaN
"IOC",1.2704718152647132,2.181315222581019,0.25988029288075754,1.002956854050921,0.5549275055406411,NaN
"SHREECEM",1.2159182330719016,2.101817454144312,0.0959888344033152,0.9664059539817372,0.5499612874527664,NaN
"TCS",0.975336771466325,1.7512320561536223,NaN,0.8052163747060009,0.5226815990775978,NaN
"INDUSINDBK",0.9430445116346038,1.7041744205005336,0.3386804296718753,0.7835805606187477,0.5181655709720396,NaN
"INFY",0.925820181407986,1.679074403951786,0.22678820819436443,0.7720402593669138,0.5156532547755088,NaN
"HDFCLIFE",0.860893975888414,1.5844612136826948,0.281896413021432,0.7285397016688006,0.505467706607302,NaN
"ICICIBANK",0.8361490156382199,1.5484018195810794,0.5101942278462691,0.7119605783011704,0.5012581397302976,NaN
"HCLTECH",0.6797127871233641,1.3204363850541327,0.40036373372535655,0.6071483051962171,0.4693242280641625,NaN
"POWERGRID",0.5633686367333648,1.1508948085911974,0.30210523692020336,0.5291977244349174,0.43737154166985504,NaN
"EICHERMOT",0.5448189787625104,1.1238634688574447,0.6304300020910784,0.516769453594445,0.4313860110208874,NaN
"ULTRACEMCO",0.5424112578342866,1.1203548369194787,0.47635591922008735,0.5151562805725352,0.4305879190567176,NaN
"AXISBANK",0.5421390584186265,1.1199581765124997,0.5826831660273187,0.5149739069640428,0.4304973779645828,NaN
"GRASIM",0.5230552982419476,1.0921485206393942,0.511939460179701,0.502187787645668,0.4239856480058717,NaN
"BAJAJ-AUTO",0.4748090938918461,1.0218421277829448,0.4175967191248058,0.46986283073109997,0.40594244708998534,NaN
"LT",0.4346520676465402,0.963323624593309,0.4757192327188382,0.44295762314674497,0.3889161005520952,NaN
"BHARTIARTL",0.43009170535302,0.9566780733567941,0.6351225789995876,0.43990218041008644,0.3868508285702017,NaN
"HINDALCO",0.42675763552581936,0.9518195269438781,0.772515672245236,0.43766835362586204,0.38532266374426294,NaN
"TATASTEEL",0.3821141975828075,0.8867632364280975,0.7444257387072792,0.4077572502040441,0.3632471265726924,NaN
"WIPRO",0.3327613658946209,0.8148442197927387,0.40149708077449314,0.37469085297295907,0.3347405053250542,NaN
"TECHM",0.32169166067809973,0.7987129809887437,0.5689062296835706,0.36727415047788986,0.3276416771818909,NaN
"GAIL",0.17917524867867884,0.5910320870097376,0.6410945301449076,0.2717881544382779,0.20163921942315013,NaN
"ADANIPORTS",0.16428953576145466,0.5693400017067725,0.739289886211484,0.2618147267837377,0.1831761960319222,0.009339176787373843
"NTPC",0.15440769885275407,0.5549397744307587,0.4867512056292731,0.2551938960549083,0.17012242265315147,NaN
"SBIN",0.10245756578012566,0.47923586126393236,0.7520995232947402,0.22038730689624725,0.08859430024320061,NaN
"ITC",0.0866085580881304,0.4561400224059692,0.520602552364898,0.20976847174261043,0.058334188584856325,NaN
"DRREDDY",-0.05416525814312245,0.2509985120803954,0.6202683273937047,0.11545001486767101,-0.45484436221102,NaN
"M&M",-0.07200646957747692,0.22499955035821667,0.5748200573897372,0.10349640320665353,-0.586696592803463,NaN
"HEROMOTOCO",-0.08082346991267109,0.2121510476058897,0.5604531011384443,0.09758901298207343,-0.6637887085727573,NaN
"INFRATEL",-0.08236094092515767,0.20991058035120386,0.8137379634174787,0.09655890740370741,-0.6781980245444127,NaN
"ZEEL",-0.16848287087370006,0.08441009130589089,0.8546008995687148,0.03885721433818401,-2.706819378333672,NaN
"CIPLA",-0.2204709418768378,0.008650893395270143,0.56175976586927,0.004025206766081722,-32.42103781213911,NaN