"Symbol","Wi","Day1","Day2","Day3","Day4","Day5","Day6","Day7","Day8","Day9","Day10","Day11","Day12","Day13","Day14","Day15","Day16","Day17","Day18","Day19","Day20","Day21","Day22","Day23","Day24","Day25","Day26","Day27","Day28","Day29","Day30","Day31","Day32","Day33","Day34","Day35","Day36","Day37","Day38","Day39","Day40","Day41","Day42","Day43","Day44","Day45","Day46","Day47","Day48","Day49","Day50","Day51","Day52","Day53","Day54","Day55","Day56","Day57","Day58","Day59","Day60","Day61","Day62","Day63","Day64","Day65","Day66","Day67","Day68","Day69","Day70","Day71","Day72","Day73","Day74","Day75","Day76","Day77","Day78","Day79","Day80","Day81","Day82","Day83","Day84","Day85","Day86","Day87","Day88","Day89","Day90","Day91","Day92","Day93","Day94","Day95","Day96","Day97","Day98","Day99","Day100","Day101","Day102","Day103","Day104","Day105","Day106","Day107","Day108","Day109","Day110","Day111","Day112","Day113","Day114","Day115","Day116","Day117","Day118","Day119","Day120","avgReturn"
"BRITANNIA","1.13",0.004523513457942101,-0.0047815129590515724,-0.005512052962719108,0.004814673583425169,-0.004281121585248406,-0.007441488234250428,-0.003781962122389902,0.018513227222651384,0.01972020578960099,0.002914536863830984,0.01157607931533372,-0.008189857572393718,-0.004480819689387462,0.00025720857020249035,-0.0015749568564938133,0.002124690284657173,0.02555452315432532,-0.0057321548797342,0.0022210282235540398,0.010357553257665004,-0.0010889255168511796,-0.003114641004414911,0.009169968485202193,0.0007585152590875629,0.007254348989007078,-0.001151651609546736,-0.0002459979003318779,-0.02946417829089772,-0.006623230606093624,0.0006699091470919722,-0.0005100959026931717,-0.01229585247873125,-0.00405271708706738,-0.0057229632715461295,0.005152595202925203,-0.007413386384755736,-0.007583264633140892,-0.0008727352474640591,0.0025712722393307482,-0.005030752332288522,-0.01845642674323211,-0.007103822445283363,0.026245225751942717,0.012076780174199785,0.020926805216398017,-0.014630018815808311,-0.027552328781699574,0.017286819904563884,-0.07796150749752406,-0.01673987961680394,-0.019756866784342714,-0.008490117471607763,-0.06852197180852905,-0.07346282780126955,0.06455582043829727,-0.13370203566777583,0.10611120935993675,0.03666419501106699,0.05590694963939077,-0.022870838973870863,-0.021943260126973924,0.08699339936584397,-0.04615181290560531,-0.0006238449796359402,0.10582268810645509,-0.02079725695387083,0.009421438322560665,-0.03410425501307048,0.04848219703892742,-0.00019378451286606333,-0.0016392190606404772,0.00030011598547756294,0.010677718542190837,0.031223281841262544,-0.0017780334326663897,0.03893251539307193,0.058749588786731026,-0.014836269149906487,-0.0006806192964375864,0.0028351980205530408,-0.022996160897638063,-0.03692266299020824,0.0030045835852995093,-0.024215897063087913,0.027200803906311154,0.019801949682244562,0.01746924067352977,-0.008930579143357048,0.01271282409025967,0.002228503115553077,-0.005150848265858419,-0.001784855482379951,0.007683643079835016,-0.005403150781235301,0.018049247833742246,-0.0010262174980913178,0.017842232701600767,0.03196901793692279,0.016730613012687245,0.0165737258040665,0.004701773864583457,0.01718339841949951,-0.017078237377863424,0.004738562800308337,-0.011509472221738577,-0.0032391577534685878,-0.011330038540199058,-0.001969185475362335,-0.0012758569568805452,-0.002629230674713633,-0.0035296688569789393,0.016769519861006516,0.0008231399724442398,0.010075684326342746,-0.005045734587048049,0.013401761780224569,-0.005956154037761892,0.001160629031258788,0.0017389614482376128,0.01818369857920159,0.17060912764628067
"JSWSTEEL","1.69",0.0311450735881868,-0.014469125899543755,-0.030097188097875097,0.003784167206675164,-0.010367610310936616,0.05942866070107875,-0.0007191639142417714,0.002518885191179876,0.008255542293505468,0.00569596268248066,-0.017876115995591125,-0.014777400031650938,-0.00731660826756209,-0.015109597957840221,-0.0052386435519745905,0.0030092081393969282,0.019688739508368837,-0.033468217055862816,-0.028728999997984207,0.023506367084774295,-0.016459287932750033,-0.024323856258414354,0.0031910568865678624,0.02723663523985128,0.0421907169832168,0.02674099627163742,0.010309195841918514,-0.005012407451767922,0.03904277653071368,0.01714286762664108,-0.001191636117131576,-0.014317437297806379,-0.0034584038296999377,-0.011625913820380538,-0.013869401827610714,0.0033826356041760466,-0.08108578085665302,0.014095347891973531,-0.00685457304598536,-0.03335886975094723,-0.06505362853233228,-0.002969803396040421,0.04872334456877003,-0.0034489035070110943,0.006310995061807199,-0.03378512856440998,-0.040829107080067956,-0.02423052274461757,-0.09082778506562933,0.057578747817816286,-0.13448110277627756,-0.05134412022740764,-0.06857457974195966,-0.006388882226232119,0.07623994799544802,-0.17837829020246437,0.0186980125201562,0.031951078403313564,-0.013175196758055733,0.011014553593652063,-0.05975565028495128,0.02703655823149695,-0.022222165402117387,-0.01608409194222041,0.12366762981071845,-0.02213792705840258,0.0756790745328632,0.00811783875461064,0.022367972502101343,-0.004375718548255864,0.038968735824952104,-0.055273582553624606,-0.04716415366928383,0.010025037210218798,-0.007754322944425403,-0.04188808134961591,0.026427440697628153,0.013350152641661724,0.029485694333811787,0.10085306967883016,-0.09465811453469705,0.002139917570017061,0.011592500823262047,0.03860071979596793,-0.02061560155138181,0.03498379155032011,0.02091085964675485,0.023288468339992388,-0.03921029477872533,-0.005136973052724499,-0.06339645735170896,0.037059724290693034,0.01033674584486115,-0.006723253687505317,-0.022071841976630917,0.06078847781607844,0.04851060233452752,-0.0035173914341174203,0.0002716017293162442,0.05293154635777782,-0.009280719346528986,0.002862421017857453,-0.0036326609753063945,0.026302179468587403,-0.010657244869057465,-0.02513458562684578,0.004735501487566115,-0.03299292822753955,0.023287325728995185,-0.027520520181593913,0.0342857966583016,0.00947116694395154,0.008079126351776374,0.004653636677324642,0.018785335222208755,0.018691620417171532,-0.03843290761115221,-0.0018050495100902532,-0.004650029773618208,-0.010121957492485694,-0.28869826419960876
"TITAN","1.59",0.0007361169368247573,-0.013759231280530365,0.01658347445719294,0.001165210648768387,-0.014354028934339408,0.01762427137057478,-0.008079341279541264,0.00424587085914884,0.0070322408855049735,0.015208566084261101,0.006794229316917839,-0.0034789467579166814,-0.0007570706487526988,-0.009807749715844638,0.0012328963087147014,0.02245996141055154,0.019724232161119865,-0.011442706629357148,-0.015488600754639892,-0.007364061748317031,-0.005858991631300623,0.007208025828237757,-0.0011366138145384988,0.07535400462254056,0.0031745095215039774,-0.016056521353884648,0.012467088610932991,-0.013960767002430262,0.010738155098488363,-0.001337797368562856,0.02293139510765357,-0.003582172367812471,0.017472785840792152,-0.003837335982835602,0.014187697465721327,-0.005076763851665422,-0.03246777638557723,-0.015469980664926592,-0.0039679921288279536,0.018166017399675813,-0.01831130831496568,-0.008250247979033398,0.0022906876837994077,0.0031675378365619775,0.0065549799087329715,-0.013143756490997256,-0.0315066269413127,-0.013128758662515502,-0.09337774536940521,0.0070582529184830345,-0.06732135287776962,-0.010233904349011065,-0.07017982541209002,-0.0292774731067095,0.0015496102627407219,-0.11487459530594991,0.018914974407847,0.07927952585107399,0.05392827042488432,0.009425825582875122,0.0070434565802053265,-0.010544241184022616,0.002516844057232638,-0.07825432413897944,0.09811084838938379,-0.03588580879379512,0.10991286070437196,-0.046357921194075564,-0.015307402377272832,0.034872095192472155,-0.009895985447362999,0,-0.039774374270198816,0.015693353333391516,-0.04078202912299345,-0.00717730788182397,0.02395013717936487,0.005497172299485662,-0.00798625589495733,0.04824933557263558,-0.08061436663260547,-0.0054942073166316715,-0.011838313991559124,-0.03120550495846496,-0.019137877837538838,-0.0039021974024831207,0.020311005813289828,0.01653965326798885,-0.016793578978658335,-0.00047286898737629036,-0.033467326567344115,0.011623673961649003,0.02648768060695105,0.0013549649476459263,-0.00023525485387730166,0.05072668585001033,-0.007728926159540429,0.015352561158759655,-0.010506522065241644,0.07741579243331806,0.017989423350912363,0.008400235648865136,-0.013308235408191843,0.020283109873804897,0.0343609775302878,-0.02721955719103335,-0.01990763704105462,-0.026605322436362894,0.027805557568688032,-0.029968287779095288,0.010174990988252253,0.005166816649485937,0.01349944332126661,-0.00015374602505095747,0.0037403841178873768,0.020163379206731426,-0.01105832775534407,-0.010726562459159828,-0.011661233342555602,-0.009056089771640496,-0.17085949401254208
"BPCL","1.83",-0.00833929332288251,-0.008306825360849193,-0.029679419581276293,-0.017371856009738264,-0.002386070592861696,0.0231571911504302,-0.0006375455644991108,0.0010632309969791265,0.005523161517140502,-0.011408073046701921,-0.013142438647307405,-0.01710696802134732,0.007160121004463537,0.014656112950997606,-0.01810933272914066,0.029750763492466088,-0.006183354221559723,0.0035400472986949157,0.02822020130507519,-0.0039505650643903755,-0.019622134041881848,-0.027041377248082206,0.007331122249261813,0.03953944182030282,0.04848493613924004,-0.013255038078312291,-0.007372964224341637,-0.012108231269260953,-0.009166751152292202,-0.012993791897365162,-0.012111632455635658,0.015884935007658328,-0.031063125246632985,0.01971187277259278,0.010196532240903987,-0.007990782121278973,-0.015050311333165891,-0.017002039726591856,-0.01740562384111619,-0.010583771359325428,-0.03986034941785922,-0.03283682648236527,0.030677806724595254,-0.014823535310395377,-0.0007165733081554927,-0.03656782901306474,0.05147608866050389,-0.04588890603517576,-0.14861523671421373,0.09221606083117273,-0.030315078645118645,-0.020430555627889778,-0.06900897367804022,-0.0971282375216102,0.058617852029908706,-0.10618881483947207,-0.02413216949214374,0.0414684939828068,0.03123283212043375,-0.012575231833067656,-0.01434977578475335,0.1534121706878412,-0.04402013871294009,0.04687235886212494,0.107047179127843,-0.025064136022693168,0.007595694409104679,0.01507686952465396,0.010711225177446179,0.0043803525963916545,0.01322457030880032,0.023049118723377008,-0.03569488087499621,0.004081667014866165,-0.004345439465943139,-0.013233793524499035,0.01412464407770919,0.01041083925316252,0.004594803309495714,0.025641025641025654,-0.059729746225717896,-0.0024432484001954656,-0.00936464519324182,-0.041448518051085945,-0.014565279838469303,-0.03063899062981136,-0.007306187681561725,0.012959960937500039,-0.02163947512270182,0.027445914320203102,-0.07589573691892162,-0.0025505867408098085,0.05318788528053805,0.0139204221285541,0.0063856957919848556,-0.006503864946554544,0.05205179188326933,-0.00910608556333809,0.05008416288729841,0.010210035369411336,-0.013571994961382823,0.021809079497485544,0.02349237213523383,0.03456964619598499,0.06628787769321119,-0.03197159580912584,-0.006684109549066049,-0.023486011683251262,0.010404016296494574,-0.03450118776962544,-0.003462603878116378,0.013481601399626477,0.015496417448990035,0.02781900821868673,0.012087784131051356,0.017785294591895186,-0.0343112556301817,-0.02192573784339439,0.06320052369070728,-0.02616534472925023,-0.17758606150709078
"HDFC","1.59",0.013332251828141973,-0.0048451429412797115,-0.028662058967807123,0.012981733676964043,-0.0036852592832435083,0.021299610454192108,0.00006114284716033245,0.0020345511119904377,0.012080964231138936,-0.0014845337203162198,-0.0026120263332853493,-0.01134125020023111,0.000163141212857358,0.004522565898451704,-0.019813930887168926,0.004882917092141147,0.009203662430283673,-0.022421689528618203,0.014942716375085574,-0.011247711812232346,0.004471264255652003,-0.00041412095618436115,-0.06389803048208675,0.03814579671465112,0.01948025281133774,0.018731915993154963,-0.012641343481947773,0.0035957007632446635,0.008636000492912731,0.001006288122079687,-0.01392775913746496,-0.000790410242852825,-0.021442756444829614,-0.013381525387909985,0.02520697793645392,-0.0032599561475528593,-0.03258083483030392,0.004493425089838076,-0.00918544173443036,-0.004054333761157101,-0.04244788096719416,0.0017924045637774824,0.00539083804870393,0.006685274775989169,-0.00498623106913432,-0.03899703775060066,-0.038659254668467966,0.004117617484037253,-0.0788459556083218,0.10188196196689031,-0.10888810313758711,-0.04666763967991382,-0.07589123002138516,-0.0030508109307112153,0.08429151613512696,-0.13298557352974658,-0.010258463954923965,0.09364835478451838,0.05297526978192278,0.011971764106840553,-0.11131700680485071,0.04769847149208113,-0.030371700172248457,-0.053015425404604445,0.03707771371686157,0.002347111738134591,0.0925711162995795,-0.028125155480053118,-0.035584718810792206,0.018448895875156628,0.033738194429891656,0.028025641732023605,-0.03357060662841132,-0.003323863948490593,-0.0004206930907422552,-0.04998646988749098,0.007055545302774467,0.07813644254020194,0.0704918707648794,0.043146817018262854,-0.10002607915871409,-0.01997853451376618,0.02500148432859178,-0.016309255172520135,-0.008333809396161997,-0.018494412761478552,0.009436575343424337,0.023086995712518314,-0.04691284838869709,0.0008575981838306319,-0.07451945991792196,0.018385597225298752,0.05659643841065207,-0.018254417448446653,-0.050804502941375035,-0.009233869660074468,0.04543481840411758,0.0339403496578684,0.021678882096945257,0.04750130274676256,0.043649738356947146,0.012186021956873086,-0.03886903045719676,0.0013035399005648265,-0.0032831108824854485,0.006417611826265927,0.020992087413099464,-0.01207656013128747,0.002657374118927013,-0.022625787328433785,0.04010504200183951,-0.014956899055401273,0.034157004690332386,-0.011234150148896616,-0.008555327719048237,0.010278147959319823,-0.02195209053142003,-0.011097137472765037,-0.00475317873610084,-0.015937935926916166,-0.2846401002641452
"HDFCBANK","1.24",0.006374178452746797,-0.01426071543496208,-0.021641495359374482,0.015834663110713056,-0.002617742996765218,0.01121448742412716,0.008887782398006666,0.002572736379314655,0.002721617418351426,-0.0040713454827452445,0.002647478617140263,-0.007377781089487338,-0.01819035289746863,-0.008407083132420088,-0.0028127135200463676,0.0032235967914744914,-0.00024093405928010057,-0.0251899051273746,0.008242664360759756,0.010341746990705284,-0.00792970583113548,0.000203906847227737,-0.027317947212032807,0.03101944876373104,0.012075113836666413,-0.003896658089265412,0.0019357172521637302,-0.001529465801345252,0.00024181790373711137,0.006770937110566259,-0.006084848347427954,-0.017762242947056955,-0.0018041999556507849,-0.0032042265421963526,0.011498002202245935,-0.008230097773629144,-0.005874640175405709,-0.007975455790054627,-0.000874821949020352,0.0001667301829269149,-0.01817493655030273,0.001655798523712656,0.001865101125569813,-0.02788125899542896,0.002176089178854757,-0.014287533348409888,-0.024319301253154055,0.005870134302693312,-0.08304907252650899,0.047488555385146895,-0.06571326006680675,-0.02441223052932702,-0.10070757217778284,0.021268061192458096,-0.014181243236158955,-0.12606897080005036,-0.004989923720886123,0.11599581395988559,0.05176536397541599,0.0037177191342340756,-0.08049089149252461,0.036373473350538976,-0.03741733273754601,-0.019044233548096073,0.10106285245113326,-0.008034763271996634,0.0406681993317923,-0.03210638624826212,-0.03579604474998114,0.019054804169621145,0.03472576049214962,0.03795450758681831,-0.02455411099258156,0.007540770344245838,0.028376090150623867,-0.017697286976314,-0.008901418575339758,0.0018285599491340248,0.049065868556987316,0.025278899625618474,-0.07865840362662642,-0.012513529569846887,0.03834550632393045,-0.022612028594686216,0.004378365181587798,-0.014261880602868817,-0.015560166182510713,0.028950182435238767,-0.03659786699027498,-0.006210123886272395,-0.057985699019685234,-0.007171457389488597,0.03184247323718865,0.0028584905808174198,-0.024082383224949745,0.01615312537699047,0.06012435304096697,0.0460354943418624,0.006770721411333075,0.03782903281294544,0.013516909083111366,0.021228771228771155,-0.020102702658810218,0.031596249369282195,-0.016886777552765124,-0.028152412573854785,0.0046085160024563025,-0.023441045089772912,0.01460873918100473,-0.033477511487217004,0.04269100370625456,-0.01125810191761559,0.041562432685250235,0.013137862854583052,-0.004451517583216839,0.013171371886391114,-0.009402329817736579,-0.0036319612590797966,0.026925833459902643,0.01855279337606914,-0.1584154001449818
"HINDUNILVR","1.46",0.0007745259979924705,-0.005469454738414982,-0.006225846683642607,0.002740896338507784,0.004503578488033853,0.0029543999710324813,0.009793051073443415,0.02090572702006376,0.006993100020040967,0.006396823388675826,0.013652247830324439,0.005392204339156974,0.0012377040601664639,-0.003611590765121635,-0.0018000904008570373,0.002534453107323486,0.008167588278181568,-0.005955385351614925,-0.0003638768543005355,0.006599967366748179,-0.007762002931065276,-0.01158832179176988,0.07113176906094812,-0.010716075325213572,0.002180333345128929,-0.001805354471791912,0.0016462915054403229,-0.00030092212688511154,-0.003079749847350047,0.0500314212976767,0.010197473178569281,-0.012415651398718872,-0.0010863694352301362,-0.008079701131714927,0.02584594451089235,-0.019152309838461896,-0.014722643000227985,0.008329078155816867,0.001163998451833481,0.008384799772681516,-0.035566273280005785,-0.007035293383164616,0.0033341160111415662,0.004246368198746836,0.01937162177953675,-0.0131199730392913,-0.03079154329317143,0.0157906403467994,-0.0459628716614049,-0.011065468512430315,-0.044904528643471,0.03200475994920466,-0.04004392580406953,-0.044443266771878646,0.11608542788066169,-0.08870694162455862,0.08458575488705165,0.029735913148296284,0.0511217985850669,-0.024761816286411324,0.020462024509914217,0.052258008739220665,-0.051707728020521045,-0.011721856569750635,0.1349982666892044,0.00652387702845699,-0.03600391746440579,-0.01087579415181258,0.0601333976204981,-0.020682949465066037,-0.020976179397091652,-0.020314384102560347,-0.008195948849908923,0.029666938941078295,-0.028770167541391303,-0.014843639652943956,0.016359266582055974,-0.013143909489663923,-0.02541537975275086,-0.016466997646623602,-0.051184602906332574,-0.019758351522852435,-0.015331850614170023,-0.009028941204859593,0.048894412484052005,-0.019837827230342296,-0.017797813282881703,-0.00785470760588629,0.005160977741478483,0.012985741667585446,-0.013212927208150064,-0.014811102491654776,0.007744680335285829,-0.01002087786218126,0.008625496175356295,-0.005080709694948751,0.010263922481289715,0.00593059304756777,0.023582759533142192,0.024886345617671543,-0.0005454510332134058,0.00621631094018242,0.00004714804392666958,-0.015561613243854893,0.011544234392443734,-0.0024624999196312335,0.00621896698209938,-0.005991858209770481,0.00016614195646809108,-0.010890799373217047,-0.003814257446803279,0.0009150985434038378,-0.0062071695855461404,0.020181780890488266,0.0038466819629477344,0.02625182928444712,-0.01189729805156799,0.020114500012545188,-0.008720091920367533,0.013346065659879617,0.13492966931717887
"UPL","3.79",0.01223973112287955,-0.00789318773318477,-0.009818005033496073,0.017266405107272762,0.009747057387802854,0.006157884401253073,-0.007029954559124276,-0.013909689362105484,-0.014190430092916402,0.003855735652914844,0.003926240130748885,0.001955495050336997,-0.007891423936955909,-0.011802898474762796,-0.02553229212325611,-0.0368594424983259,0.002028749312394531,-0.011135643724895209,-0.0005583722024471292,0.009684357257808807,0.003689026936676471,-0.0323441187175608,-0.025163776579157245,0.018118084584839902,0.028415655562309235,-0.0011164437112598034,0.01164192030294239,0.05707973379451113,0.004441842785300787,-0.004768871242511745,0.00845082642275059,0.022289511636190713,0.005662030637843202,-0.016470482943888514,0,-0.0014525651445383152,-0.018995496100754076,-0.012036589213850432,-0.005915074375286671,-0.02158086845554434,-0.056548848994662566,-0.010294534912373903,0.013998293301177094,-0.01907773289278796,0.00869818269637141,-0.004747631361768531,-0.0011681677417671049,0.007699813196092957,-0.14188992415604829,-0.0738277675177124,-0.08287700332052024,-0.06886936921908224,-0.08265638735299298,-0.07798672592912222,0.011457490653935174,-0.1517574225916242,0.029261522128106707,0.11734399139635202,0.06745215478959511,0.030875180048968325,-0.0426753639132777,0.05851839753479832,-0.0635529042120048,-0.025020341206951343,0.08570940981098348,-0.010659623938873838,-0.003747668920991615,0.018652069397770726,0.07878129982961397,0.03608619315391226,0.000275288693815881,-0.023534233954967006,-0.024806188456122386,0.0222574838184451,-0.013431377618219508,-0.037403226724593626,0.04019649941953148,0.03191640233234285,0.00027743619481614715,0.16486403143975822,-0.0824901572364066,0.004281299292065769,-0.02079834927098279,-0.027968340569358607,-0.010314822425985484,0.009599547267892122,0.017522317738677243,0.040315127330742356,0.005646109543165726,-0.03304843897725595,-0.008181562503821203,-0.09619480987446839,0.049757119205975676,0.028747744031999218,0.01185933878192652,-0.01104673831313302,0.05653178838576242,0.008509606581034362,0.03771407360313391,0.03314028984986628,0.012878646574136362,-0.01318574526526951,0.007038821749660629,0.041108907482508436,-0.005917177649313924,-0.01419411164006398,-0.013005148331499725,-0.017764669261220785,-0.013893921399213891,-0.01615449330118235,0.022839518648610183,0.015811737308448,0.01687263765125775,0.021032942447102968,0.02128636415535412,0.0378753318811808,-0.03919236791858388,-0.004607290430207551,-0.0059832577856345805,-0.018966535656120262,-0.265788360504028
